BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,BEGIN_HH,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE,id,file_name,file_index,img_type,time_utc,minute_offsets,episode_id,event_id,event_type,llcrnrlat,llcrnrlon,urcrnrlat,urcrnrlon,proj,size_x,size_y,height_m,width_m,data_min,data_max,pct_missing,
201903,16,1945,19,201903,16,1945,135532,813048,NEBRASKA,31,2019,March,Flood,C,103,KEYA PAHA,LBF,3/16/19 19:45,"Saturday, March 16, 2019",CST-6,3/16/19 19:45,0,0,0,0,50.00K,0.00K,Public,,,Ice Jam,,,,,,,,,6,SSE,NORDEN,6,SSE,NORDEN,42.7854,-100.0355,42.7857,-100.0363,"Historical flooding occurred in north central Nebraska as rivers, creeks and other streams rose due to the combination of snow, rain, and rapid snow melt on top of frozen ground. The greatest flooding occurred along the Niobrara, Keya Paha, Elkhorn and Loup Rivers; Ponca, Long Pine, Victoria and Cedar creeks; and one fatality occurred from the failure of Spencer Dam that is located on the Niobrara River. In addition to the Spencer Dam failure, several privately owned dams failed. The failure of these private dams contributed to additional overland flooding and most likely exacerbated the flooding in localized areas that led to community evacuations. The combination of weather elements on ice in the rivers led to increased runoff and rapid breakup of ice. Large ice chucks on several rivers destroyed or damaged river bridges, to include state, county and private owned bridges in several counties.",Flooding reported along the Niobrara River south of Norden.,CSV,S813048,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,576,vil,3/17/19 1:45,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,135532,813048,Flood,40.98214154,-102.2894124,44.51423633,-97.69780343,#NAME?,384,384,384000,384000,0,7,0,43540.8229166667NORDEN
201908,9,1403,14,201908,9,1403,139701,840243,WEST VIRGINIA,54,2019,August,Hail,C,81,RALEIGH,RLX,8/9/19 14:03,"Friday, August 9, 2019",EST-5,8/9/19 14:03,0,0,0,0,0.00K,0.00K,Trained Spotter,0.75,,,,,,,,,,,1,NW,(BKW)RALEIGH CO ARPT,1,NW,(BKW)RALEIGH CO ARPT,37.79,-81.13,37.79,-81.13,"A strong cold front dropped through the middle Ohio River Valley and central Appalachians on the 8th and 9th. Strong to severe thunderstorms along the front led to wind damage, hail and flash flooding.",,CSV,S840243,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0701_1231.h5,133,vil,8/9/19 19:03,-118:-113:-108:-103:-98:-93:-88:-83:-78:-73:-68:-63:-58:-53:-48:-43:-38:-33:-28:-23:-18:-13:-8:-3:2:7:12:17:22:27:32:37:42:47:52:57:62:67:72:77:82:87:92:97:102:107:112:117:122,139701,840243,Hail,36.37963012,-83.64705914,39.12724935,-78.52995369,#NAME?,384,384,384000,384000,0,254,0,43686.5854166667(BKW)RALEIGH CO ARPT
201902,7,600,6,201902,7,630,135168,810279,TENNESSEE,47,2019,February,Flash Flood,C,67,HANCOCK,MRX,2/7/19 6:00,"Thursday, February 7, 2019",EST-5,2/7/19 6:30,0,0,0,0,0.00K,0.00K,Broadcast Media,,,Heavy Rain,,,,,,,,,4,SE,SNEEDVILLE,4,ESE,SNEEDVILLE,36.4891,-83.1691,36.5079,-83.1535,"A warm, moist, Gulf air mass was in place across the area, with a weak surface trough located over the Cumberland Plateau, which helped focus rainfall amounts of a few inches over parts of northeast Tennessee.",Landslide washed out portion of Hwy 66 at the Hancock County and Hawkins County border.,CSV,S810279,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,696,vil,2/7/19 11:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,135168,810279,Flash Flood,35.03070047,-85.58736795,37.87672337,-80.65427031,#NAME?,384,384,384000,384000,0,252,0,43503.25SNEEDVILLE
201908,10,1906,19,201908,10,1906,140205,843281,FLORIDA,12,2019,August,Thunderstorm Wind,C,3,BAKER,JAX,8/10/19 19:06,"Saturday, August 10, 2019",EST-5,8/10/19 19:06,0,0,0,0,0.50K,0.00K,Trained Spotter,40,EG,,,,,,,,,,3,SSE,SANDERSON,3,SSE,SANDERSON,30.21,-82.25,30.21,-82.25,NW steering flow brought a short wave trough over the region in the late afternoon and early evening which triggered strong to severe storms over an unstable and moist airmass along sea breeze and outflow mergers near the St. Johns River basin.,A large tree was blown down across Richardson Road near Mud Lake Road. The time of damage was based on radar.  The cost of damage was estimated.,CSV,S843281,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0701_1231.h5,94,vil,8/11/19 0:06,-121:-116:-111:-106:-101:-96:-91:-86:-81:-76:-71:-66:-61:-56:-51:-46:-41:-36:-31:-26:-21:-16:-11:-6:-1:4:9:14:19:24:29:34:39:44:49:54:59:64:69:74:79:84:89:94:99:104:109:114:119,140205,843281,Thunderstorm Wind,28.75617026,-84.50459422,31.59305951,-79.95239092,#NAME?,384,384,384000,384000,0,254,0,43687.7958333333SANDERSON
201904,22,1500,15,201904,22,1515,136526,819464,CALIFORNIA,6,2019,April,Funnel Cloud,C,73,SAN DIEGO,SGX,4/22/19 15:00,"Monday, April 22, 2019",PST-8,4/22/19 15:15,0,0,0,0,0.00K,0.00K,Utility Company,,,,,,,,,,,,1,SSE,MT LAGUNA AFS,1,SSE,MT LAGUNA AFS,32.8699,-116.4149,32.8699,-116.4149,"An inside slider upper low brought moisture and instability to SoCal on April 22nd. Thunderstorms developed over the mountains and deserts. Heavy rain, thunder and lightning occurred in these storms. A waterspout was observed in Morena Lake and a webcam captured a possible funnel cloud over Mount Laguna.",SDG&E webcam captured a funnel cloud over Mount Laguna.,CSV,S819464,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,298,vil,4/22/19 23:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,136526,819464,Funnel Cloud,30.83154134,-118.0621356,34.86235877,-114.7322355,#NAME?,384,384,384000,384000,0,223,0,43577.625MT LAGUNA AFS
201904,21,1423,14,201904,21,1423,136513,819307,KANSAS,20,2019,April,Thunderstorm Wind,C,199,WALLACE,GLD,4/21/19 14:23,"Sunday, April 21, 2019",MST-7,4/21/19 14:23,0,0,0,0,0.00K,0.00K,Mesonet,61,MG,,,,,,,,,,7,SE,SHARON SPGS ARPT,7,SE,SHARON SPGS ARPT,38.7707,-101.6775,38.7707,-101.6775,"During the afternoon thunderstorms from East Central Colorado spread into parts of Northwest Kansas.  The largest hail size reported was half dollar near Quinter, which also occurred with 60 MPH wind gusts.  The highest wind gust reported was estimated at 70 MPH in Bogue, which blew a 10 ft. flatbed trailer 50 yards.",,CSV,S819307,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,274,vil,4/21/19 21:23,-118:-113:-108:-103:-98:-93:-88:-83:-78:-73:-68:-63:-58:-53:-48:-43:-38:-33:-28:-23:-18:-13:-8:-3:2:7:12:17:22:27:32:37:42:47:52:57:62:67:72:77:82:87:92:97:102:107:112:117:122,136513,819307,Thunderstorm Wind,36.95869986,-103.7672688,40.54478292,-99.51457431,#NAME?,384,384,384000,384000,0,254,0,43576.5993055556SHARON SPGS ARPT
201908,11,1912,19,201908,11,1912,140206,843285,FLORIDA,12,2019,August,Flood,C,31,DUVAL,JAX,8/11/19 19:12,"Sunday, August 11, 2019",EST-5,8/11/19 19:12,0,0,0,0,0.00K,0.00K,Social Media,,,Heavy Rain,,,,,,,,,2,SE,JACKSONVILLE,2,SE,JACKSONVILLE,30.3327,-81.6525,30.3327,-81.652,High moisture content combined with weak upper level forcing and warm conditions aloft favored locally heavy rainfall in sea breeze and outflow triggered showers and thunderstorms.,About 6 inches of water was flowing over the intersection of Market and Orange Streets near Hogan's Creek.,CSV,S843285,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0701_1231.h5,140,vil,8/12/19 0:12,-122:-117:-112:-107:-102:-97:-92:-87:-82:-77:-72:-67:-62:-57:-52:-47:-42:-37:-32:-27:-22:-17:-12:-7:-2:3:8:13:18:23:28:33:38:43:48:53:58:63:68:73:78:83:88:93:98:103:108:113:118,140206,843285,Flood,28.89862403,-83.9029305,31.70773093,-79.32188816,#NAME?,384,384,384000,384000,0,254,0,43688.8JACKSONVILLE
201908,8,1515,15,201908,8,1515,139700,840229,OHIO,39,2019,August,Thunderstorm Wind,C,167,WASHINGTON,RLX,8/8/19 15:15,"Thursday, August 8, 2019",EST-5,8/8/19 15:15,0,0,0,0,2.00K,0.00K,911 Call Center,50,EG,,,,,,,,,,1,W,LOWELL,1,W,LOWELL,39.53,-81.51,39.53,-81.51,"A strong cold front dropped through the middle Ohio River Valley on the 8th. Strong to severe thunderstorms along the front led to wind damage, hail and flash flooding.",Multiple trees and power lines were blown down around Lowell.,CSV,S840229,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0701_1231.h5,511,vil,8/8/19 20:15,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,139700,840229,Thunderstorm Wind,38.11782386,-84.09543779,40.87616353,-78.84963595,#NAME?,384,384,384000,384000,0,254,0,43685.6354166667LOWELL
201903,14,1025,10,201903,14,1025,135532,813041,NEBRASKA,31,2019,March,Flood,C,41,CUSTER,LBF,3/14/19 10:25,"Thursday, March 14, 2019",CST-6,3/14/19 10:25,0,0,0,0,1.00M,0.00K,Broadcast Media,,,Ice Jam,,,,,,,,,0,N,SARGENT,0,SSW,SARGENT,41.63,-99.37,41.6259,-99.3719,"Historical flooding occurred in north central Nebraska as rivers, creeks and other streams rose due to the combination of snow, rain, and rapid snow melt on top of frozen ground. The greatest flooding occurred along the Niobrara, Keya Paha, Elkhorn and Loup Rivers; Ponca, Long Pine, Victoria and Cedar creeks; and one fatality occurred from the failure of Spencer Dam that is located on the Niobrara River. In addition to the Spencer Dam failure, several privately owned dams failed. The failure of these private dams contributed to additional overland flooding and most likely exacerbated the flooding in localized areas that led to community evacuations. The combination of weather elements on ice in the rivers led to increased runoff and rapid breakup of ice. Large ice chucks on several rivers destroyed or damaged river bridges, to include state, county and private owned bridges in several counties.",Historical bridge 1 mile south of Sargent destroyed by Ice flows along the Middle Loup River.,CSV,S813041,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,438,vil,3/14/19 16:25,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,135532,813041,Flood,39.85306517,-101.5854911,43.35817056,-97.0362449,#NAME?,384,384,384000,384000,0,126,0,43538.4340277778SARGENT
201908,11,1348,13,201908,11,1348,142010,852611,MONTANA,30,2019,August,Thunderstorm Wind,C,57,MADISON,TFX,8/11/19 13:48,"Sunday, August 11, 2019",MST-7,8/11/19 13:48,0,0,0,0,,,Park/Forest Service,87,EG,,,,,,,,,,8,SW,PONY,8,SW,PONY,45.5681,-112.017,45.5681,-112.017,"A Pacific trough approached and eventually moved through North-central and Southwest Montana on Saturday, August 10th and the morning of Sunday, August 11th. A belt of southwesterly mid- to upper-level winds up to about 50 knots preceded the axis of this trough and contributed to moderate to strong vertical wind shear, which favored the development of organized thunderstorms in the form of multicells and supercells. At the surface, winds exhibited an easterly component at times. These surface winds transported greater low-level moisture into the area from the Dakotas. Farther aloft, southwesterly winds near 10,000 feet MSL were present ahead of the Pacific trough axis and transported abundant amounts of Pacific moisture into the region. The resulting unusually-high humidity and daytime heating contributed to a weak to moderate instability especially over Southwest Montana. Also notable was a pronounced elevated mixed layer (EML), a term for an elevated dry layer of the lower to middle atmosphere, moving north from Utah and eastern Idaho. EMLs are much more common across the Great Plains of the United States and are associated with many of the classic spring severe weather outbreaks in the central part of the county.","Beaverhead/Deerlodge National Forest Personnel estimated between 200 to 250 acres of trees were blown down from a severe thunderstorm that moved over the area. the blow down resulted in a trail leading back to Granite Lake in the Tobacco Root Mountains to become blocked. At least four people became stranded and had to be rescued by the joint effort of the Madison County Search and Rescue, Forest Service Fire Team, and US Airforce helicopter support. A storm survey conducted by National Weather Service Great Falls discovered that this event was a microburst.",CSV,S852611,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0701_1231.h5,244,vil,8/11/19 20:48,-118:-113:-108:-103:-98:-93:-88:-83:-78:-73:-68:-63:-58:-53:-48:-43:-38:-33:-28:-23:-18:-13:-8:-3:2:7:12:17:22:27:32:37:42:47:52:57:62:67:72:77:82:87:92:97:102:107:112:117:122,142010,852611,Thunderstorm Wind,43.57674888,-113.989545,47.51879132,-109.9421218,#NAME?,384,384,384000,384000,0,254,0,43688.575PONY
